UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Tool wear [min],Machine failure,Tool wear failure,Head dissipation failure,Power failure,Overstrain failure,Random failure
1945,L49124,L,298.1,308.1,42.320207938997655,63.0,False,False,False,False,False,False
9582,L56761,L,299.4,310.6,37.65634076752546,10.0,False,False,False,False,False,False
9294,L56473,L,298.3,309.1,37.90778284204973,93.0,False,False,False,False,False,False
2452,L49631,L,299.2,308.7,40.62019202317981,93.0,False,False,False,False,False,False
5324,M20183,M,303.4,312.7,37.403208418530085,34.0,False,False,False,False,False,False
2008,L49187,L,300.1,308.4,39.52214569073901,25.0,False,False,False,False,False,False
564,L47743,L,297.7,309.6,39.10242959203431,153.0,False,False,False,False,False,False
7379,L54558,L,299.5,310.0,37.25587202039432,94.0,False,False,False,False,False,False
368,M15227,M,297.6,308.4,39.61060464067672,93.0,False,False,False,False,False,False
1313,L48492,L,298.9,310.1,38.379682124790975,164.0,False,False,False,False,False,False
4825,L52004,L,303.4,310.1,38.71692136521188,16.0,False,False,False,False,False,False
1368,M16227,M,298.8,310.2,39.761790704142086,75.0,False,False,False,False,False,False
9997,H39410,H,298.9,308.4,40.39801975344831,17.0,False,False,False,False,False,False
1695,L48874,L,298.0,307.5,40.22437072223753,31.0,False,False,False,False,False,False
8568,L55747,L,298.0,308.7,38.87158345115362,114.0,False,False,False,False,False,False
4710,M19569,M,303.4,311.6,38.02630668366309,163.0,False,False,False,False,False,False
3605,L50784,L,301.8,310.8,39.45883931389772,190.0,False,False,False,False,False,False
5942,L53121,L,300.6,310.7,37.92097045171708,78.0,True,False,False,False,False,False
2173,L49352,L,299.5,309.2,42.61455150532503,15.0,False,False,False,False,False,False
3718,H33131,H,302.3,311.4,37.98683982644516,51.0,False,False,False,False,False,False
37,M14896,M,298.9,309.2,39.761790704142086,101.0,False,False,False,False,False,False
4017,L51196,L,302.1,310.9,40.718546143004666,186.0,False,False,False,False,False,False
4732,L51911,L,303.3,311.6,36.069377593742864,219.0,True,False,True,False,False,False
4468,L51647,L,302.8,310.6,40.2119385257662,207.0,False,False,False,False,False,False
6641,L53820,L,300.1,310.4,36.52396473549935,133.0,False,False,False,False,False,False
3312,L50491,L,301.3,310.4,38.19685850956856,92.0,False,False,False,False,False,False
9258,M24117,M,298.3,309.1,36.0,201.0,False,False,False,False,False,False
5455,L52634,L,303.0,312.5,38.22302970723278,127.0,False,False,False,False,False,False
8324,H37737,H,298.7,309.5,38.11823710509184,108.0,False,False,False,False,False,False
539,M15398,M,297.4,310.1,38.71692136521188,88.0,False,False,False,False,False,False
6356,L53535,L,300.1,309.7,38.48376280978771,34.0,False,False,False,False,False,False
7175,L54354,L,300.2,310.2,39.11521443121589,15.0,False,False,False,False,False,False
220,M15079,M,298.3,308.5,37.86819245752297,148.0,False,False,False,False,False,False
1455,L48634,L,299.1,310.4,37.78888725538237,87.0,False,False,False,False,False,False
2661,L49840,L,299.8,310.1,35.93048844644336,188.0,False,False,False,False,False,False
7649,L54828,L,300.4,311.4,39.395431207184416,135.0,False,False,False,False,False,False
5111,M19970,M,304.0,313.5,41.617304093369626,126.0,False,False,False,False,False,False
4118,L51297,L,301.9,310.5,36.60601043544625,204.0,True,False,False,False,True,False
2662,M17521,M,299.9,309.4,38.84584919911006,190.0,False,False,False,False,False,False
5214,M20073,M,303.7,312.6,37.8021163428716,189.0,False,False,False,False,False,False
487,M15346,M,297.4,309.1,39.774363602702685,180.0,False,False,False,False,False,False
4919,L52098,L,303.3,312.2,38.17066936798463,48.0,False,False,False,False,False,False
271,H29684,H,298.0,308.0,38.98717737923585,51.0,False,False,False,False,False,False
4858,L52037,L,303.7,312.3,40.07492981902776,103.0,False,False,False,False,False,False
531,M15390,M,297.6,309.5,41.340053217188775,65.0,False,False,False,False,False,False
5479,L52658,L,302.7,312.2,40.13726448077895,186.0,False,False,False,False,False,False
7142,M22001,M,300.4,309.8,36.823905279043935,136.0,False,False,False,False,False,False
3591,L50770,L,301.8,310.6,37.45664160065608,151.0,False,False,False,False,False,False
8131,H37544,H,300.0,311.2,37.322915213043046,45.0,False,False,False,False,False,False
9495,L56674,L,300.1,309.9,38.93584466786357,219.0,False,False,False,False,False,False
756,H30169,H,296.8,308.1,38.62641583165593,222.0,False,False,False,False,False,False
6670,L53849,L,301.4,310.5,39.63584236521283,208.0,False,False,False,False,False,False
2322,M17181,M,299.2,308.8,36.24913792078372,108.0,False,False,False,False,False,False
4856,L52035,L,303.7,312.3,37.08099243547832,98.0,False,False,False,False,False,False
8285,L55464,L,298.8,310.6,40.63249930782009,0.0,False,False,False,False,False,False
315,M15174,M,297.9,308.5,36.05551275463989,172.0,False,False,False,False,False,False
7032,L54211,L,300.7,310.8,38.45776904605882,108.0,False,False,False,False,False,False
5919,L53098,L,300.1,310.1,39.25557285278104,108.0,False,False,False,False,False,False
6626,M21485,M,301.6,310.7,37.69615364994153,108.0,False,False,False,False,False,False
7251,M22110,M,300.1,310.2,37.8021163428716,206.0,False,False,False,False,False,False
5347,L52526,L,303.4,312.7,39.16631205513228,98.0,False,False,False,False,False,False
2551,L49730,L,299.4,309.3,36.959437225152655,116.0,False,False,False,False,False,False
1515,M16374,M,298.1,308.8,40.34848200366403,12.0,False,False,False,False,False,False
728,H30141,H,297.3,310.1,38.71692136521188,147.0,False,False,False,False,False,False
7750,L54929,L,300.4,311.6,40.91454509095757,172.0,False,False,False,False,False,False
9507,H38920,H,299.3,310.4,39.344631145812,25.0,False,False,False,False,False,False
7477,L54656,L,300.2,311.5,38.62641583165593,128.0,False,False,False,False,False,False
4339,L51518,L,301.6,309.9,37.37646318206152,102.0,False,False,False,False,False,False
833,L48012,L,296.6,307.4,39.0,173.0,False,False,False,False,False,False
5697,H35110,H,302.5,311.9,39.93745109543172,112.0,False,False,False,False,False,False
3783,L50962,L,302.2,310.8,42.74342054632502,9.0,False,False,False,False,False,False
6305,L53484,L,301.1,310.5,39.14077158156185,119.0,False,False,False,False,False,False
9675,L56854,L,300.1,310.2,41.1703777004778,8.0,False,False,False,False,False,False
5938,M20797,M,300.6,310.5,38.23610858861032,68.0,False,False,False,False,False,False
5352,M20211,M,303.5,312.9,39.11521443121589,110.0,False,False,False,False,False,False
1138,L48317,L,300.1,307.8,40.65710270051225,137.0,False,False,False,False,False,False
4335,L51514,L,301.6,309.8,38.36665218650175,91.0,False,False,False,False,False,False
1842,L49021,L,297.7,310.1,40.84115571332428,5.0,False,False,False,False,False,False
6523,L53702,L,301.1,310.1,38.58756276314948,42.0,False,False,False,False,False,False
4327,L51506,L,301.6,310.1,36.90528417449187,70.0,True,False,True,False,False,False
7670,L54849,L,300.7,311.8,36.55133376499413,189.0,True,False,False,False,True,False
7587,L54766,L,300.4,311.1,39.8622628559895,191.0,False,False,False,False,False,False
8670,M23529,M,297.5,308.8,38.35361782153021,152.0,False,False,False,False,False,False
5309,L52488,L,304.0,313.2,38.48376280978771,213.0,False,False,False,False,False,False
1721,L48900,L,298.2,307.7,38.19685850956856,89.0,False,False,False,False,False,False
2685,L49864,L,299.8,309.4,38.2099463490856,25.0,False,False,False,False,False,False
4279,L51458,L,302.0,310.1,37.53664875824692,172.0,False,False,False,False,False,False
5427,L52606,L,302.6,312.3,39.42080668885405,58.0,False,False,False,False,False,False
4714,L51893,L,303.5,311.8,38.09199390948182,173.0,False,False,False,False,False,False
9885,L57064,L,300.1,309.5,40.90232267243512,141.0,False,False,False,False,False,False
1303,L48482,L,298.6,309.8,38.79432948254165,144.0,False,False,False,False,False,True
4377,M19236,M,301.9,309.6,39.382737335030434,211.0,False,False,False,False,False,False
6863,M21722,M,301.1,310.1,37.20215047547655,48.0,False,False,False,False,False,False
8384,M23243,M,298.8,309.9,38.66522985836241,60.0,False,False,False,False,False,False
6212,L53391,L,300.8,310.6,36.87817782917155,91.0,False,False,False,False,False,False
3319,L50498,L,301.4,310.4,37.89459064299283,108.0,False,False,False,False,False,False
4427,L51606,L,302.6,310.3,38.45776904605882,105.0,False,False,False,False,False,False
7145,M22004,M,300.4,309.8,38.948684188300895,149.0,False,False,False,False,False,False
2459,L49638,L,299.0,308.6,37.86819245752297,108.0,False,False,False,False,False,False
9516,L56695,L,299.0,310.2,41.01219330881976,49.0,False,False,False,False,False,False
2208,L49387,L,299.8,309.2,39.88734135035826,108.0,False,False,False,False,False,False
9414,L56593,L,298.1,308.6,37.93415347678132,205.0,False,False,False,False,False,False
2603,L49782,L,299.4,309.2,37.77565353504821,29.0,False,False,False,False,False,False
2788,M17647,M,300.3,309.6,39.03844259188627,54.0,False,False,False,False,False,False
3739,M18598,M,302.3,311.2,38.13135192987524,112.0,False,False,False,False,False,False
9590,L56769,L,299.2,310.4,38.36665218650175,32.0,False,False,False,False,False,False
380,L47559,L,297.3,310.1,41.88078318274385,125.0,False,False,False,False,False,False
1315,M16174,M,299.0,310.3,40.43513323831146,168.0,False,False,False,False,False,False
1128,M15987,M,296.7,307.8,40.890096600521744,113.0,False,False,False,False,False,False
2016,L49195,L,298.5,308.2,36.069377593742864,42.0,True,False,False,True,False,False
5611,L52790,L,303.1,312.4,37.5099986670221,107.0,False,False,False,False,False,False
982,L48161,L,296.2,306.8,40.681691213615984,136.0,False,False,False,False,False,False
8920,L56099,L,297.2,310.1,41.14608122288197,188.0,False,False,False,False,False,False
9009,M23868,M,297.4,308.0,37.94733192202055,190.0,False,False,False,False,False,False
5864,M20723,M,301.4,311.1,41.92851058647326,88.0,False,False,False,False,False,False
4070,M18929,M,301.9,310.7,37.48332962798263,80.0,False,False,False,False,False,False
5161,L52340,L,304.1,313.2,37.86819245752297,43.0,False,False,False,False,False,False
9462,M24321,M,298.4,309.2,37.603191353926334,128.0,False,False,False,False,False,False
3995,L51174,L,300.1,311.4,37.86819245752297,133.0,False,False,False,False,False,False
5426,L52605,L,302.5,312.2,42.13074886588179,56.0,False,False,False,False,False,False
4428,M19287,M,302.4,310.1,37.134889255254286,107.0,True,False,True,False,False,False
6032,L53211,L,300.6,310.7,38.1444622455213,82.0,False,False,False,False,False,False
9664,L56843,L,299.1,310.1,37.881393849751625,229.0,True,False,False,False,True,False
2740,L49919,L,299.8,310.1,39.64845520319802,158.0,False,False,False,False,False,False
7158,L54337,L,300.2,310.1,38.54867053479276,182.0,False,False,False,False,False,False
7917,L55096,L,300.8,310.1,38.88444419044716,169.0,False,False,False,False,False,False
7776,L54955,L,300.3,311.5,40.77989700820736,38.0,False,False,False,False,False,False
3079,M17938,M,300.1,309.4,36.72873534441391,127.0,False,False,False,False,False,False
3348,L50527,L,301.3,310.6,39.10242959203431,176.0,False,False,False,False,False,False
8800,L55979,L,297.3,308.4,38.36665218650175,67.0,False,False,False,False,False,False
3614,L50793,L,301.7,310.1,39.45883931389772,2.0,False,False,False,False,False,False
5701,L52880,L,300.1,311.9,38.69108424430621,123.0,False,False,False,False,False,False
8388,L55567,L,298.8,309.9,36.75595189897821,73.0,False,False,False,False,False,False
2102,L49281,L,299.3,309.3,39.08964057138413,45.0,False,False,False,False,False,False
6471,L53650,L,300.4,309.6,37.134889255254286,108.0,False,False,False,False,False,False
8348,L55527,L,298.7,309.6,40.80441152620633,178.0,False,False,False,False,False,False
149,M15008,M,298.3,308.3,37.134889255254286,181.0,False,False,False,False,False,False
1996,L49175,L,298.3,308.0,38.09199390948182,196.0,False,False,False,False,False,False
8835,L56014,L,297.4,308.8,38.379682124790975,167.0,False,False,False,False,False,False
7164,M22023,M,300.1,310.1,38.74274125562104,195.0,False,False,False,False,False,False
4906,L52085,L,300.1,312.4,36.91882988394946,7.0,False,False,False,False,False,False
5574,L52753,L,302.5,312.2,41.689327171351664,14.0,False,False,False,False,False,False
1130,L48309,L,296.7,307.9,41.10960958218893,119.0,False,False,False,False,False,False
157,M15016,M,298.4,308.1,38.66522985836241,203.0,False,False,False,False,False,False
5560,M20419,M,302.5,312.0,38.09199390948182,189.0,False,False,False,False,False,False
5523,L52702,L,302.6,311.9,38.11823710509184,84.0,False,False,False,False,False,False
6482,L53661,L,300.7,309.8,37.49666651850535,108.0,False,False,False,False,False,False
8112,M22971,M,300.4,311.8,39.408120990476064,209.0,True,True,False,False,False,False
7243,H36656,H,299.9,310.1,38.03945320322047,185.0,False,False,False,False,False,False
2678,L49857,L,299.8,309.5,38.66522985836241,10.0,False,False,False,False,False,False
7165,M22024,M,300.2,310.1,38.39270764090493,198.0,False,False,False,False,False,False
5042,L52221,L,304.0,313.2,36.24913792078372,144.0,False,False,False,False,False,False
2256,L49435,L,299.1,308.3,39.48417404479927,30.0,False,False,False,False,False,False
8969,L56148,L,297.1,307.8,38.13135192987524,94.0,False,False,False,False,False,False
2117,M16976,M,300.1,309.0,37.16180835212409,88.0,False,False,False,False,False,False
5608,M20467,M,302.9,312.2,41.77319714841085,98.0,False,False,False,False,False,False
2212,M17071,M,299.6,309.0,35.2845575287547,120.0,False,False,False,False,False,False
1967,L49146,L,297.9,307.6,38.92300091205713,118.0,False,False,False,False,False,False
2534,L49713,L,298.8,308.7,38.60051813123757,71.0,False,False,False,False,False,False
7079,L54258,L,300.7,310.5,36.837480912787726,199.0,False,False,False,False,False,False
5334,M20193,M,303.5,312.6,37.48332962798263,62.0,False,False,False,False,False,False
9506,L56685,L,299.2,310.3,37.8021163428716,23.0,False,False,False,False,False,False
5609,M20468,M,303.1,312.3,40.28647415696737,101.0,False,False,False,False,False,False
7723,L54902,L,300.5,310.1,37.53664875824692,104.0,False,False,False,False,False,False
3709,L50888,L,302.1,311.4,39.35733730830886,31.0,False,False,False,False,False,False
2755,H32168,H,299.6,309.1,40.3732584763727,194.0,False,False,False,False,False,False
2818,L49997,L,300.2,309.5,37.64306044943742,129.0,False,False,False,False,False,False
6246,L53425,L,300.9,310.4,38.01315561749642,180.0,False,False,False,False,False,False
7090,L54269,L,300.6,310.2,40.27406113120453,3.0,False,False,False,False,False,False
1092,L48271,L,297.0,307.7,38.03945320322047,8.0,False,False,False,False,False,False
1384,M16243,M,298.9,310.2,36.4828726939094,121.0,False,False,False,False,False,False
8124,H37537,H,300.2,311.5,38.92300091205713,27.0,False,False,False,False,False,False
4990,L52169,L,303.9,313.2,38.71692136521188,7.0,False,False,False,False,False,False
2843,L50022,L,300.3,309.3,36.6742416417845,192.0,False,False,False,False,False,False
7626,L54805,L,300.1,311.7,39.44616584663204,76.0,False,False,False,False,False,False
6473,H35886,H,300.4,310.1,39.63584236521283,126.0,False,False,False,False,False,False
1577,L48756,L,300.1,308.4,38.60051813123757,170.0,False,False,False,False,False,False
2986,L50165,L,300.7,309.8,39.94996871087636,123.0,False,False,False,False,False,False
6954,L54133,L,300.8,311.3,38.23610858861032,75.0,False,False,False,False,False,False
4052,L51231,L,301.8,310.8,37.1887079635741,37.0,False,False,False,False,False,False
8380,L55559,L,298.8,309.9,40.36087214122113,49.0,False,False,False,False,False,False
2984,L50163,L,300.6,309.6,35.91656999213594,119.0,False,False,False,False,False,False
5813,L52992,L,301.4,311.1,38.66522985836241,193.0,False,False,False,False,False,False
5995,L53174,L,300.1,310.4,40.09987531152685,221.0,False,False,False,False,False,False
695,L47874,L,297.6,309.1,37.33630940518894,62.0,False,False,False,False,False,False
3638,M18497,M,302.2,311.4,40.32369030731191,62.0,False,False,False,False,False,False
4018,L51197,L,302.0,310.8,43.61192497471305,188.0,False,False,False,False,False,False
786,M15645,M,296.9,308.0,38.69108424430621,57.0,False,False,False,False,False,False
7237,M22096,M,299.8,310.1,38.2099463490856,169.0,False,False,False,False,False,False
5184,M20043,M,303.9,310.1,43.60045871318328,110.0,False,False,False,False,False,False
5569,L52748,L,302.5,312.1,39.16631205513228,3.0,False,False,False,False,False,False
7472,L54651,L,300.3,311.7,36.945906403822335,113.0,False,False,False,False,False,False
3144,H32557,H,300.6,310.0,37.66961640367472,90.0,False,False,False,False,False,False
9563,M24422,M,299.7,311.0,37.881393849751625,168.0,False,False,False,False,False,False
3440,L50619,L,301.4,310.3,38.62641583165593,195.0,False,False,False,False,False,False
7682,L54861,L,300.7,311.8,37.98683982644516,108.0,False,False,False,False,False,False
518,M15377,M,297.5,309.4,37.29611239794304,34.0,False,False,False,False,False,False
8848,L56027,L,300.1,310.1,37.98683982644516,0.0,False,False,False,False,False,False
7640,L54819,L,300.5,311.4,38.28837943815329,112.0,False,False,False,False,False,False
309,L47488,L,297.9,308.5,36.12478373637688,155.0,False,False,False,False,False,False
2261,H31674,H,299.1,308.3,39.0,40.0,False,False,False,False,False,False
5781,L52960,L,301.7,311.2,38.948684188300895,113.0,False,False,False,False,False,False
75,L47254,L,298.9,309.0,40.01249804748511,202.0,False,False,False,False,False,False
5581,M20440,M,300.1,312.2,38.18376618407357,34.0,False,False,False,False,False,False
4160,M19019,M,302.0,310.5,40.48456495999432,94.0,False,False,False,False,False,False
4075,L51254,L,302.0,310.1,38.11823710509184,92.0,False,False,False,False,False,False
4322,L51501,L,301.7,310.2,41.060930335295616,59.0,False,False,False,False,False,False
3087,L50266,L,300.0,309.2,40.12480529547776,150.0,False,False,False,False,False,False
9633,M24492,M,299.0,310.0,36.565010597564445,146.0,False,False,False,False,False,False
6462,L53641,L,300.6,310.0,38.79432948254165,95.0,False,False,False,False,False,False
7678,L54857,L,300.6,311.7,37.78888725538237,208.0,False,False,False,False,False,False
1388,L48567,L,298.9,310.1,42.69660408041839,131.0,False,False,False,False,False,False
6250,L53429,L,300.7,310.1,39.26830783214372,191.0,False,False,False,False,False,False
2653,L49832,L,300.1,309.5,42.09513035969837,167.0,False,False,False,False,False,False
9801,H39214,H,298.5,309.3,37.69615364994153,124.0,False,False,False,False,False,False
5607,L52786,L,300.1,312.2,41.58124577258358,96.0,False,False,False,False,False,False
5259,M20118,M,303.5,312.9,39.64845520319802,84.0,False,False,False,False,False,False
5558,M20417,M,302.5,312.0,37.89459064299283,184.0,False,False,False,False,False,False
412,L47591,L,297.5,308.7,37.8021163428716,201.0,False,False,False,False,False,False
4153,M19012,M,302.0,310.5,37.74917217635375,76.0,False,False,False,False,False,False
6843,L54022,L,301.2,311.2,40.43513323831146,211.0,False,False,False,False,False,False
7089,M21948,M,300.1,310.3,40.17461885320133,0.0,False,False,False,False,False,False
8056,H37469,H,300.2,311.6,38.67815921162743,60.0,False,False,False,False,False,False
3754,L50933,L,302.2,311.0,38.24918299781056,150.0,False,False,False,False,False,False
3993,L51172,L,302.3,311.3,40.17461885320133,129.0,False,False,False,False,False,False
2770,M17629,M,300.0,309.6,38.43175770115127,108.0,False,False,False,False,False,False
6073,M20932,M,300.9,310.8,41.1703777004778,188.0,False,False,False,False,False,False
5742,M20601,M,302.3,311.7,38.50973902793941,8.0,False,False,False,False,False,False
1635,H31048,H,297.9,307.9,37.49666651850535,93.0,False,False,False,False,False,False
7292,L54471,L,300.2,310.5,37.62977544445356,90.0,False,False,False,False,False,False
4952,L52131,L,303.8,312.7,39.94996871087636,134.0,False,False,False,False,False,False
8739,L55918,L,297.3,308.7,39.1279950930277,116.0,False,False,False,False,False,False
7605,L54784,L,300.4,311.3,40.48456495999432,24.0,False,False,False,False,False,False
5685,H35098,H,302.2,311.6,39.92492955535426,82.0,False,False,False,False,False,False
574,L47753,L,297.9,309.9,38.36665218650175,183.0,False,False,False,False,False,False
1359,M16218,M,298.7,310.1,41.14608122288197,51.0,False,False,False,False,False,False
2838,L50017,L,300.3,309.1,41.2189276910499,178.0,False,False,False,False,False,False
7382,L54561,L,300.1,310.3,38.66522985836241,101.0,False,False,False,False,False,False
7657,L54836,L,300.5,311.6,39.25557285278104,156.0,False,False,False,False,False,False
7193,M22052,M,300.2,310.2,37.8021163428716,54.0,False,False,False,False,False,False
3151,L50330,L,300.4,309.8,38.897300677553446,117.0,False,False,False,False,False,False
4683,L51862,L,303.6,311.8,39.585350825778974,97.0,False,False,False,False,False,False
4260,L51439,L,302.7,311.2,39.30648801406709,128.0,False,False,False,False,False,False
8778,H38191,H,297.5,310.1,38.48376280978771,14.0,False,False,False,False,False,False
998,M15857,M,296.3,307.2,38.02630668366309,180.0,False,False,False,False,False,False
6518,L53697,L,301.1,310.1,39.242833740697165,28.0,False,False,False,False,False,False
432,L47611,L,297.5,308.5,38.02630668366309,32.0,False,False,False,False,False,False
9670,L56849,L,299.1,310.3,40.23679907746142,242.0,False,False,False,False,False,False
6467,L53646,L,300.4,309.7,41.71330722922842,113.0,False,False,False,False,False,False
2251,M17110,M,299.2,308.4,37.36308338453881,13.0,False,False,False,False,False,False
2266,M17125,M,299.2,308.4,36.46916505762094,56.0,False,False,False,False,False,False
6500,L53679,L,300.9,310.0,40.87786687193939,199.0,False,False,False,False,False,False
5232,L52411,L,303.8,313.1,38.18376618407357,25.0,False,False,False,False,False,False
1584,L48763,L,298.2,310.1,36.19392214170772,189.0,True,False,False,False,True,False
2764,L49943,L,299.8,310.1,38.61346915261564,216.0,False,False,False,False,False,False
4277,M19136,M,300.1,310.4,38.15756805667783,167.0,False,False,False,False,False,False
7953,M22812,M,300.9,311.9,38.47076812334269,28.0,False,False,False,False,False,False
7524,M22383,M,300.1,311.5,36.64696440361739,28.0,False,False,False,False,False,False
8771,L55950,L,297.4,308.6,40.98780306383839,200.0,False,False,False,False,False,False
4324,L51503,L,301.8,310.3,36.61966684720111,64.0,True,False,True,False,False,False
9434,M24293,M,298.0,308.7,37.81534080237808,47.0,False,False,False,False,False,False
7624,L54803,L,300.6,311.7,41.641325627314025,72.0,False,False,False,False,False,False
2647,M17506,M,299.8,309.5,38.11823710509184,153.0,False,False,False,False,False,False
8931,L56110,L,297.4,308.4,39.63584236521283,0.0,False,False,False,False,False,False
7611,M22470,M,300.5,311.3,38.82009788756334,41.0,False,False,False,False,False,False
140,L47319,L,298.8,308.6,35.608987629529715,155.0,False,False,False,False,False,False
2725,M17584,M,299.8,309.3,38.34057902536163,119.0,False,False,False,False,False,False
4526,M19385,M,302.4,310.4,38.24918299781056,139.0,False,False,False,False,False,False
8624,M23483,M,297.5,308.3,38.41874542459709,31.0,False,False,False,False,False,False
3183,M18042,M,300.1,309.3,37.98683982644516,196.0,False,False,False,False,False,False
7503,H36916,H,300.3,311.7,40.681691213615984,193.0,False,False,False,False,False,False
