UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool wear failure,Head dissipation failure,Power failure,Overstrain failure,Random failure
220,M15079,M,298.3,308.5,37.86819245752297,46.2,148.0,False,False,False,False,False,False
1455,L48634,L,299.1,310.4,37.78888725538237,46.9,87.0,False,False,False,False,False,False
2661,L49840,L,299.8,310.1,35.93048844644336,56.4,188.0,False,False,False,False,False,False
7649,L54828,L,300.4,311.4,39.395431207184416,28.8,135.0,False,False,False,False,False,False
5111,M19970,M,304.0,313.5,41.617304093369626,26.2,126.0,False,False,False,False,False,False
4118,L51297,L,301.9,310.5,36.60601043544625,55.7,204.0,True,False,False,False,True,False
2662,M17521,M,299.9,309.4,38.84584919911006,42.8,190.0,False,False,False,False,False,False
5214,M20073,M,303.7,312.6,37.8021163428716,43.3,189.0,False,False,False,False,False,False
487,M15346,M,297.4,309.1,39.774363602702685,35.9,180.0,False,False,False,False,False,False
4919,L52098,L,303.3,312.2,38.17066936798463,40.7,48.0,False,False,False,False,False,False
271,H29684,H,298.0,308.0,38.98717737923585,39.6,51.0,False,False,False,False,False,False
4858,L52037,L,303.7,312.3,40.07492981902776,37.4,103.0,False,False,False,False,False,False
531,M15390,M,297.6,309.5,41.340053217188775,32.2,65.0,False,False,False,False,False,False
5479,L52658,L,302.7,312.2,40.13726448077895,34.1,186.0,False,False,False,False,False,False
7142,M22001,M,300.4,309.8,36.823905279043935,44.4,136.0,False,False,False,False,False,False
3591,L50770,L,301.8,310.6,37.456641600656084,46.8,151.0,False,False,False,False,False,False
8131,H37544,H,300.0,311.2,37.322915213043046,43.1,45.0,False,False,False,False,False,False
9495,L56674,L,300.1,309.9,38.93584466786357,41.4,219.0,False,False,False,False,False,False
756,H30169,H,296.8,308.1,38.62641583165593,43.7,222.0,False,False,False,False,False,False
6670,L53849,L,301.4,310.5,39.63584236521283,33.9,208.0,False,False,False,False,False,False
2322,M17181,M,299.2,308.8,36.24913792078372,52.5,108.0,False,False,False,False,False,False
4856,L52035,L,303.7,312.3,37.080992435478315,46.2,98.0,False,False,False,False,False,False
8285,L55464,L,298.8,310.6,40.63249930782009,33.3,0.0,False,False,False,False,False,False
315,M15174,M,297.9,308.5,36.05551275463989,53.0,172.0,False,False,False,False,False,False
7032,L54211,L,300.7,310.8,38.45776904605882,49.1,108.0,False,False,False,False,False,False
5919,L53098,L,300.1,310.1,39.25557285278104,42.0,108.0,False,False,False,False,False,False
6626,M21485,M,301.6,310.7,37.69615364994153,44.4,108.0,False,False,False,False,False,False
7251,M22110,M,300.1,310.2,37.8021163428716,42.0,206.0,False,False,False,False,False,False
5347,L52526,L,303.4,312.7,39.16631205513228,35.5,98.0,False,False,False,False,False,False
2551,L49730,L,299.4,309.3,36.959437225152655,48.4,116.0,False,False,False,False,False,False
1515,M16374,M,298.1,308.8,40.34848200366403,37.6,12.0,False,False,False,False,False,False
728,H30141,H,297.3,310.1,38.71692136521188,37.6,147.0,False,False,False,False,False,False
7750,L54929,L,300.4,311.6,40.91454509095757,33.0,172.0,False,False,False,False,False,False
9507,H38920,H,299.3,310.4,39.344631145812,41.6,25.0,False,False,False,False,False,False
7477,L54656,L,300.2,311.5,38.62641583165593,41.8,128.0,False,False,False,False,False,False
4339,L51518,L,301.6,309.9,37.376463182061514,43.7,102.0,False,False,False,False,False,False
833,L48012,L,296.6,307.4,39.0,38.6,173.0,False,False,False,False,False,False
5697,H35110,H,302.5,311.9,39.93745109543172,34.6,112.0,False,False,False,False,False,False
3783,L50962,L,302.2,310.8,42.74342054632502,23.8,9.0,False,False,False,False,False,False
6305,L53484,L,301.1,310.5,39.14077158156185,37.5,119.0,False,False,False,False,False,False
9675,L56854,L,300.1,310.2,41.1703777004778,29.6,8.0,False,False,False,False,False,False
5938,M20797,M,300.6,310.5,38.23610858861032,41.3,68.0,False,False,False,False,False,False
5352,M20211,M,303.5,312.9,39.11521443121589,34.5,110.0,False,False,False,False,False,False
1138,L48317,L,300.1,307.8,40.65710270051225,29.7,137.0,False,False,False,False,False,False
4335,L51514,L,301.6,309.8,38.36665218650175,42.5,91.0,False,False,False,False,False,False
1842,L49021,L,297.7,310.1,40.84115571332428,37.8,5.0,False,False,False,False,False,False
6523,L53702,L,301.1,310.1,38.58756276314948,45.8,42.0,False,False,False,False,False,False
4327,L51506,L,301.6,310.1,36.90528417449187,55.8,70.0,True,False,True,False,False,False
7670,L54849,L,300.7,311.8,36.55133376499413,58.4,189.0,True,False,False,False,True,False
7587,L54766,L,300.4,311.1,39.8622628559895,35.5,191.0,False,False,False,False,False,False
8670,M23529,M,297.5,308.8,38.353617821530214,52.3,152.0,False,False,False,False,False,False
5309,L52488,L,304.0,313.2,38.48376280978771,42.6,213.0,False,False,False,False,False,False
1721,L48900,L,298.2,307.7,38.19685850956856,44.5,89.0,False,False,False,False,False,False
2685,L49864,L,299.8,309.4,38.2099463490856,37.4,25.0,False,False,False,False,False,False
4279,L51458,L,302.0,310.1,37.53664875824692,50.4,172.0,False,False,False,False,False,False
5427,L52606,L,302.6,312.3,39.42080668885405,42.0,58.0,False,False,False,False,False,False
4714,L51893,L,303.5,311.8,38.09199390948182,45.2,173.0,False,False,False,False,False,False
9885,L57064,L,300.1,309.5,40.90232267243512,30.8,141.0,False,False,False,False,False,False
1303,L48482,L,298.6,309.8,38.79432948254165,45.7,144.0,False,False,False,False,False,True
4377,M19236,M,301.9,309.6,39.382737335030434,34.6,211.0,False,False,False,False,False,False
6863,M21722,M,301.1,310.1,37.20215047547655,49.4,48.0,False,False,False,False,False,False
8384,M23243,M,298.8,309.9,38.66522985836241,35.2,60.0,False,False,False,False,False,False
6212,L53391,L,300.8,310.6,36.87817782917155,48.8,91.0,False,False,False,False,False,False
3319,L50498,L,301.4,310.4,37.89459064299283,49.7,108.0,False,False,False,False,False,False
4427,L51606,L,302.6,310.3,38.45776904605882,40.4,105.0,False,False,False,False,False,False
7145,M22004,M,300.4,309.8,38.948684188300895,40.3,149.0,False,False,False,False,False,False
2459,L49638,L,299.0,308.6,37.86819245752297,45.9,108.0,False,False,False,False,False,False
9516,L56695,L,299.0,310.2,41.012193308819754,28.8,49.0,False,False,False,False,False,False
2208,L49387,L,299.8,309.2,39.88734135035826,37.5,108.0,False,False,False,False,False,False
9414,L56593,L,298.1,308.6,37.93415347678132,44.9,205.0,False,False,False,False,False,False
2603,L49782,L,299.4,309.2,37.77565353504821,41.5,29.0,False,False,False,False,False,False
2788,M17647,M,300.3,309.6,39.03844259188627,38.4,54.0,False,False,False,False,False,False
3739,M18598,M,302.3,311.2,38.13135192987524,43.8,112.0,False,False,False,False,False,False
9590,L56769,L,299.2,310.4,38.36665218650175,43.3,32.0,False,False,False,False,False,False
380,L47559,L,297.3,310.1,41.88078318274385,26.8,125.0,False,False,False,False,False,False
1315,M16174,M,299.0,310.3,40.43513323831146,34.5,168.0,False,False,False,False,False,False
1128,M15987,M,296.7,307.8,40.890096600521744,32.4,113.0,False,False,False,False,False,False
2016,L49195,L,298.5,308.2,36.069377593742864,66.3,42.0,True,False,False,True,False,False
5611,L52790,L,303.1,312.4,37.5099986670221,41.2,107.0,False,False,False,False,False,False
982,L48161,L,296.2,306.8,40.681691213615984,31.1,136.0,False,False,False,False,False,False
8920,L56099,L,297.2,310.1,41.14608122288197,28.0,188.0,False,False,False,False,False,False
9009,M23868,M,297.4,308.0,37.94733192202055,42.4,190.0,False,False,False,False,False,False
5864,M20723,M,301.4,311.1,41.92851058647326,25.4,88.0,False,False,False,False,False,False
4070,M18929,M,301.9,310.7,37.48332962798263,47.9,80.0,False,False,False,False,False,False
5161,L52340,L,304.1,313.2,37.86819245752297,50.1,43.0,False,False,False,False,False,False
9462,M24321,M,298.4,309.2,37.603191353926334,46.4,128.0,False,False,False,False,False,False
3995,L51174,L,300.1,311.4,37.86819245752297,40.3,133.0,False,False,False,False,False,False
5426,L52605,L,302.5,312.2,42.13074886588179,27.9,56.0,False,False,False,False,False,False
4428,M19287,M,302.4,310.1,37.134889255254286,48.9,107.0,True,False,True,False,False,False
6032,L53211,L,300.6,310.7,38.144462245521304,40.6,82.0,False,False,False,False,False,False
9664,L56843,L,299.1,310.1,37.881393849751625,48.8,229.0,True,False,False,False,True,False
2740,L49919,L,299.8,310.1,39.64845520319802,35.4,158.0,False,False,False,False,False,False
7158,L54337,L,300.2,310.1,38.54867053479276,40.1,182.0,False,False,False,False,False,False
7917,L55096,L,300.8,310.1,38.88444419044716,37.1,169.0,False,False,False,False,False,False
7776,L54955,L,300.3,311.5,40.779897008207364,33.6,38.0,False,False,False,False,False,False
3079,M17938,M,300.1,309.4,36.72873534441391,56.2,127.0,False,False,False,False,False,False
3348,L50527,L,301.3,310.6,39.102429592034305,41.8,176.0,False,False,False,False,False,False
8800,L55979,L,297.3,308.4,38.36665218650175,41.3,67.0,False,False,False,False,False,False
3614,L50793,L,301.7,310.1,39.45883931389772,39.4,2.0,False,False,False,False,False,False
5701,L52880,L,300.1,311.9,38.691084244306204,41.6,123.0,False,False,False,False,False,False
8388,L55567,L,298.8,309.9,36.75595189897821,47.2,73.0,False,False,False,False,False,False
2102,L49281,L,299.3,309.3,39.08964057138413,37.8,45.0,False,False,False,False,False,False
6471,L53650,L,300.4,309.6,37.134889255254286,54.5,108.0,False,False,False,False,False,False
8348,L55527,L,298.7,309.6,40.80441152620633,31.1,178.0,False,False,False,False,False,False
149,M15008,M,298.3,308.3,37.134889255254286,48.0,181.0,False,False,False,False,False,False
1996,L49175,L,298.3,308.0,38.09199390948182,47.1,196.0,False,False,False,False,False,False
8835,L56014,L,297.4,308.8,38.379682124790975,46.2,167.0,False,False,False,False,False,False
7164,M22023,M,300.1,310.1,38.742741255621034,39.3,195.0,False,False,False,False,False,False
4906,L52085,L,300.1,312.4,36.91882988394946,53.1,7.0,False,False,False,False,False,False
5574,L52753,L,302.5,312.2,41.689327171351664,25.3,14.0,False,False,False,False,False,False
1130,L48309,L,296.7,307.9,41.10960958218893,29.6,119.0,False,False,False,False,False,False
157,M15016,M,298.4,308.1,38.66522985836241,46.0,203.0,False,False,False,False,False,False
5560,M20419,M,302.5,312.0,38.09199390948182,43.2,189.0,False,False,False,False,False,False
5523,L52702,L,302.6,311.9,38.118237105091836,39.1,84.0,False,False,False,False,False,False
6482,L53661,L,300.7,309.8,37.49666651850535,48.4,108.0,False,False,False,False,False,False
8112,M22971,M,300.4,311.8,39.408120990476064,33.1,209.0,True,True,False,False,False,False
7243,H36656,H,299.9,310.1,38.03945320322047,51.4,185.0,False,False,False,False,False,False
2678,L49857,L,299.8,309.5,38.66522985836241,39.6,10.0,False,False,False,False,False,False
7165,M22024,M,300.2,310.1,38.39270764090493,44.0,198.0,False,False,False,False,False,False
5042,L52221,L,304.0,313.2,36.24913792078372,47.1,144.0,False,False,False,False,False,False
2256,L49435,L,299.1,308.3,39.48417404479927,33.7,30.0,False,False,False,False,False,False
8969,L56148,L,297.1,307.8,38.13135192987524,50.6,94.0,False,False,False,False,False,False
2117,M16976,M,300.1,309.0,37.16180835212409,44.9,88.0,False,False,False,False,False,False
5608,M20467,M,302.9,312.2,41.773197148410844,25.5,98.0,False,False,False,False,False,False
2212,M17071,M,299.6,309.0,35.2845575287547,64.0,120.0,False,False,False,False,False,False
1967,L49146,L,297.9,307.6,38.92300091205713,40.5,118.0,False,False,False,False,False,False
2534,L49713,L,298.8,308.7,38.600518131237564,33.6,71.0,False,False,False,False,False,False
7079,L54258,L,300.7,310.5,36.837480912787726,52.6,199.0,False,False,False,False,False,False
5334,M20193,M,303.5,312.6,37.48332962798263,51.6,62.0,False,False,False,False,False,False
9506,L56685,L,299.2,310.3,37.8021163428716,40.1,23.0,False,False,False,False,False,False
5609,M20468,M,303.1,312.3,40.28647415696737,31.6,101.0,False,False,False,False,False,False
7723,L54902,L,300.5,310.1,37.53664875824692,54.7,104.0,False,False,False,False,False,False
3709,L50888,L,302.1,311.4,39.35733730830886,44.6,31.0,False,False,False,False,False,False
2755,H32168,H,299.6,309.1,40.3732584763727,32.3,194.0,False,False,False,False,False,False
2818,L49997,L,300.2,309.5,37.64306044943742,41.1,129.0,False,False,False,False,False,False
6246,L53425,L,300.9,310.4,38.01315561749642,41.7,180.0,False,False,False,False,False,False
7090,L54269,L,300.6,310.2,40.27406113120453,34.1,3.0,False,False,False,False,False,False
1092,L48271,L,297.0,307.7,38.03945320322047,46.4,8.0,False,False,False,False,False,False
1384,M16243,M,298.9,310.2,36.4828726939094,49.0,121.0,False,False,False,False,False,False
8124,H37537,H,300.2,311.5,38.92300091205713,36.8,27.0,False,False,False,False,False,False
4990,L52169,L,303.9,313.2,38.71692136521188,37.4,7.0,False,False,False,False,False,False
2843,L50022,L,300.3,309.3,36.6742416417845,53.5,192.0,False,False,False,False,False,False
7626,L54805,L,300.1,311.7,39.44616584663204,34.9,76.0,False,False,False,False,False,False
6473,H35886,H,300.4,310.1,39.63584236521283,33.6,126.0,False,False,False,False,False,False
1577,L48756,L,300.1,308.4,38.600518131237564,41.7,170.0,False,False,False,False,False,False
2986,L50165,L,300.7,309.8,39.949968710876355,31.5,123.0,False,False,False,False,False,False
6954,L54133,L,300.8,311.3,38.23610858861032,41.4,75.0,False,False,False,False,False,False
4052,L51231,L,301.8,310.8,37.1887079635741,46.4,37.0,False,False,False,False,False,False
8380,L55559,L,298.8,309.9,40.36087214122113,31.9,49.0,False,False,False,False,False,False
2984,L50163,L,300.6,309.6,35.91656999213594,57.4,119.0,False,False,False,False,False,False
5813,L52992,L,301.4,311.1,38.66522985836241,36.3,193.0,False,False,False,False,False,False
5995,L53174,L,300.1,310.4,40.099875311526844,39.2,221.0,False,False,False,False,False,False
695,L47874,L,297.6,309.1,37.33630940518894,50.0,62.0,False,False,False,False,False,False
3638,M18497,M,302.2,311.4,40.32369030731191,31.6,62.0,False,False,False,False,False,False
4018,L51197,L,302.0,310.8,43.61192497471305,23.4,188.0,False,False,False,False,False,False
786,M15645,M,296.9,308.0,38.691084244306204,44.8,57.0,False,False,False,False,False,False
7237,M22096,M,299.8,310.1,38.2099463490856,37.1,169.0,False,False,False,False,False,False
5184,M20043,M,303.9,310.1,43.60045871318328,22.5,110.0,False,False,False,False,False,False
5569,L52748,L,302.5,312.1,39.16631205513228,38.6,3.0,False,False,False,False,False,False
7472,L54651,L,300.3,311.7,36.945906403822335,53.3,113.0,False,False,False,False,False,False
3144,H32557,H,300.6,310.0,37.66961640367472,42.4,90.0,False,False,False,False,False,False
9563,M24422,M,299.7,311.0,37.881393849751625,50.1,168.0,False,False,False,False,False,False
3440,L50619,L,301.4,310.3,38.62641583165593,41.4,195.0,False,False,False,False,False,False
7682,L54861,L,300.7,311.8,37.986839826445156,43.7,108.0,False,False,False,False,False,False
518,M15377,M,297.5,309.4,37.296112397943034,58.2,34.0,False,False,False,False,False,False
8848,L56027,L,300.1,310.1,37.986839826445156,43.5,0.0,False,False,False,False,False,False
7640,L54819,L,300.5,311.4,38.28837943815329,41.8,112.0,False,False,False,False,False,False
309,L47488,L,297.9,308.5,36.124783736376884,47.2,155.0,False,False,False,False,False,False
2261,H31674,H,299.1,308.3,39.0,36.5,40.0,False,False,False,False,False,False
5781,L52960,L,301.7,311.2,38.948684188300895,42.4,113.0,False,False,False,False,False,False
75,L47254,L,298.9,309.0,40.01249804748511,32.3,202.0,False,False,False,False,False,False
5581,M20440,M,300.1,312.2,38.18376618407357,38.8,34.0,False,False,False,False,False,False
4160,M19019,M,302.0,310.5,40.48456495999432,32.9,94.0,False,False,False,False,False,False
4075,L51254,L,302.0,310.1,38.118237105091836,42.7,92.0,False,False,False,False,False,False
4322,L51501,L,301.7,310.2,41.060930335295616,28.9,59.0,False,False,False,False,False,False
3087,L50266,L,300.0,309.2,40.124805295477756,32.1,150.0,False,False,False,False,False,False
9633,M24492,M,299.0,310.0,36.565010597564445,57.4,146.0,False,False,False,False,False,False
6462,L53641,L,300.6,310.0,38.79432948254165,35.9,95.0,False,False,False,False,False,False
7678,L54857,L,300.6,311.7,37.78888725538237,52.6,208.0,False,False,False,False,False,False
1388,L48567,L,298.9,310.1,42.69660408041839,26.1,131.0,False,False,False,False,False,False
6250,L53429,L,300.7,310.1,39.26830783214372,35.5,191.0,False,False,False,False,False,False
2653,L49832,L,300.1,309.5,42.09513035969837,23.5,167.0,False,False,False,False,False,False
9801,H39214,H,298.5,309.3,37.69615364994153,50.3,124.0,False,False,False,False,False,False
5607,L52786,L,300.1,312.2,41.58124577258358,23.6,96.0,False,False,False,False,False,False
5259,M20118,M,303.5,312.9,39.64845520319802,44.7,84.0,False,False,False,False,False,False
5558,M20417,M,302.5,312.0,37.89459064299283,43.5,184.0,False,False,False,False,False,False
412,L47591,L,297.5,308.7,37.8021163428716,44.3,201.0,False,False,False,False,False,False
4153,M19012,M,302.0,310.5,37.749172176353746,44.7,76.0,False,False,False,False,False,False
6843,L54022,L,301.2,311.2,40.43513323831146,29.6,211.0,False,False,False,False,False,False
7089,M21948,M,300.1,310.3,40.17461885320133,32.7,0.0,False,False,False,False,False,False
8056,H37469,H,300.2,311.6,38.67815921162743,41.1,60.0,False,False,False,False,False,False
3754,L50933,L,302.2,311.0,38.24918299781056,46.8,150.0,False,False,False,False,False,False
3993,L51172,L,302.3,311.3,40.17461885320133,34.1,129.0,False,False,False,False,False,False
2770,M17629,M,300.0,309.6,38.43175770115127,38.1,108.0,False,False,False,False,False,False
6073,M20932,M,300.9,310.8,41.1703777004778,30.2,188.0,False,False,False,False,False,False
5742,M20601,M,302.3,311.7,38.50973902793941,40.5,8.0,False,False,False,False,False,False
1635,H31048,H,297.9,307.9,37.49666651850535,58.5,93.0,False,False,False,False,False,False
7292,L54471,L,300.2,310.5,37.62977544445356,46.7,90.0,False,False,False,False,False,False
4952,L52131,L,303.8,312.7,39.949968710876355,36.6,134.0,False,False,False,False,False,False
8739,L55918,L,297.3,308.7,39.1279950930277,36.7,116.0,False,False,False,False,False,False
7605,L54784,L,300.4,311.3,40.48456495999432,34.6,24.0,False,False,False,False,False,False
5685,H35098,H,302.2,311.6,39.92492955535426,36.8,82.0,False,False,False,False,False,False
574,L47753,L,297.9,309.9,38.36665218650175,45.0,183.0,False,False,False,False,False,False
1359,M16218,M,298.7,310.1,41.14608122288197,31.9,51.0,False,False,False,False,False,False
2838,L50017,L,300.3,309.1,41.2189276910499,30.3,178.0,False,False,False,False,False,False
7382,L54561,L,300.1,310.3,38.66522985836241,43.1,101.0,False,False,False,False,False,False
7657,L54836,L,300.5,311.6,39.25557285278104,47.8,156.0,False,False,False,False,False,False
7193,M22052,M,300.2,310.2,37.8021163428716,43.8,54.0,False,False,False,False,False,False
